mnem,pref,twobyte,pri_opcd,sec_opcd,+r,op_size,sign-ext,direction,tttn,mem_format,opcd_ext,mode,ring,lock,fpush,fpop,alias,part_alias,instr_ext,grp1,grp2,grp3,test_f,modif_f,def_f,undef_f,f_vals,exclusive,brief,op1_m,op1_t,op2_m,op2_t,op3_m,op3_t,op4_m,op4_t
jge,,0,7D,,,,,,1101,,,,,,,,,,,gen,branch,cond,os,,,,,,Jump short if not less/greater or equal (SF=OF),9,21,,,,,,
jle,,0,7E,,,,,,1110,,,,,,,,,,,gen,branch,cond,osz,,,,,,Jump short if less or equal/not greater ((ZF=1) OR (SF!=OF)),9,21,,,,,,
jng,,0,7E,,,,,,1110,,,,,,,,,,,gen,branch,cond,osz,,,,,,Jump short if less or equal/not greater ((ZF=1) OR (SF!=OF)),9,21,,,,,,
jnle,,0,7F,,,,,,1111,,,,,,,,,,,gen,branch,cond,osz,,,,,,Jump short if not less nor equal/greater ((ZF=0) AND (SF=OF)),9,21,,,,,,
jg,,0,7F,,,,,,1111,,,,,,,,,,,gen,branch,cond,osz,,,,,,Jump short if not less nor equal/greater ((ZF=0) AND (SF=OF)),9,21,,,,,,
add,,0,80,,,0,,,,,0,,,yes,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Add,4,1,8,1,,,,
or,,0,80,,,0,,,,,1,,,yes,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Inclusive OR,4,1,8,1,,,,
adc,,0,80,,,0,,,,,2,,,yes,,,,,,gen,arith,binary,c,oszapc,oszapc,,,,Add with Carry,4,1,8,1,,,,
sbb,,0,80,,,0,,,,,3,,,yes,,,,,,gen,arith,binary,c,oszapc,oszapc,,,,Integer Subtraction with Borrow,4,1,8,1,,,,
and,,0,80,,,0,,,,,4,,,yes,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical AND,4,1,8,1,,,,
sub,,0,80,,,0,,,,,5,,,yes,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Subtract,4,1,8,1,,,,
xor,,0,80,,,0,,,,,6,,,yes,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Exclusive OR,4,1,8,1,,,,
cmp,,0,80,,,0,,,,,7,,,,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Compare Two Operands,4,1,8,1,,,,
add,,0,81,,,1,,,,,0,,,yes,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Add,4,36,8,35,,,,
or,,0,81,,,1,,,,,1,,,yes,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Inclusive OR,4,36,8,35,,,,
adc,,0,81,,,1,,,,,2,,,yes,,,,,,gen,arith,binary,c,oszapc,oszapc,,,,Add with Carry,4,36,8,35,,,,
sbb,,0,81,,,1,,,,,3,,,yes,,,,,,gen,arith,binary,c,oszapc,oszapc,,,,Integer Subtraction with Borrow,4,36,8,35,,,,
and,,0,81,,,1,,,,,4,,,yes,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical AND,4,36,8,35,,,,
sub,,0,81,,,1,,,,,5,,,yes,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Subtract,4,36,8,35,,,,
xor,,0,81,,,1,,,,,6,,,yes,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Exclusive OR,4,36,8,35,,,,
cmp,,0,81,,,1,,,,,7,,,,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Compare Two Operands,4,36,8,35,,,,
add,,0,82,,,0,,,,,0,,,yes,,,80_0,,,gen,arith,binary,,oszapc,oszapc,,,32,Add,4,1,8,1,,,,
or,,0,82,,,0,,,,,1,,,yes,,,80_1,,,gen,logical,,,oszapc,oszpc,a,oc,32,Logical Inclusive OR,4,1,8,1,,,,
adc,,0,82,,,0,,,,,2,,,yes,,,80_2,,,gen,arith,binary,c,oszapc,oszapc,,,32,Add with Carry,4,1,8,1,,,,
sbb,,0,82,,,0,,,,,3,,,yes,,,80_3,,,gen,arith,binary,c,oszapc,oszapc,,,32,Integer Subtraction with Borrow,4,1,8,1,,,,
and,,0,82,,,0,,,,,4,,,yes,,,80_4,,,gen,logical,,,oszapc,oszpc,a,oc,32,Logical AND,4,1,8,1,,,,
sub,,0,82,,,0,,,,,5,,,yes,,,80_5,,,gen,arith,binary,,oszapc,oszapc,,,32,Subtract,4,1,8,1,,,,
xor,,0,82,,,0,,,,,6,,,yes,,,80_6,,,gen,logical,,,oszapc,oszpc,a,oc,32,Logical Exclusive OR,4,1,8,1,,,,
cmp,,0,82,,,0,,,,,7,,,,,,80_7,,,gen,arith,binary,,oszapc,oszapc,,,32,Compare Two Operands,4,1,8,1,,,,
add,,0,83,,,1,1,,,,0,,,yes,,,,,,gen,arith,binary,,oszapc,oszapc,,,,Add,4,36,8,21,,,,
or,,0,83,,,1,1,,,,1,,,yes,,,,,,gen,logical,,,oszapc,oszpc,a,oc,,Logical Inclusive OR,4,36,8,21,,,,
